"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 01 20:35:04 CST 2024","Mon Apr 01 20:35:04 CST 2024","209","case","test_login","","","","test_login[data1]",""
"passed","Mon Apr 01 20:35:05 CST 2024","Mon Apr 01 20:35:05 CST 2024","178","case","test_login","","","","test_workflow[data0-AE]",""
"passed","Mon Apr 01 20:35:04 CST 2024","Mon Apr 01 20:35:04 CST 2024","207","case","test_login","","","","test_login[data0]",""
"passed","Mon Apr 01 20:35:04 CST 2024","Mon Apr 01 20:35:05 CST 2024","203","case","test_login","","","","test_login[data2]",""
